t,direccion,modelo,t_ny,hora_ny
2025-10-28 02:12:00+00:00,SELL,MEC-A,2025-10-27 22:12:00-04:00,22
2025-10-28 02:13:00+00:00,SELL,MEC-A,2025-10-27 22:13:00-04:00,22
2025-10-28 02:18:00+00:00,SELL,MEC-A,2025-10-27 22:18:00-04:00,22
2025-10-28 02:20:00+00:00,SELL,MEC-A,2025-10-27 22:20:00-04:00,22
2025-10-28 02:21:00+00:00,SELL,MEC-A,2025-10-27 22:21:00-04:00,22
2025-10-28 02:23:00+00:00,SELL,MEC-A,2025-10-27 22:23:00-04:00,22
2025-10-28 02:27:00+00:00,SELL,MEC-A,2025-10-27 22:27:00-04:00,22
2025-10-28 02:33:00+00:00,SELL,MEC-A,2025-10-27 22:33:00-04:00,22
2025-10-28 02:34:00+00:00,SELL,MEC-A,2025-10-27 22:34:00-04:00,22
2025-10-28 02:37:00+00:00,SELL,MEC-A,2025-10-27 22:37:00-04:00,22
2025-10-28 02:38:00+00:00,SELL,MEC-A,2025-10-27 22:38:00-04:00,22
2025-10-28 02:45:00+00:00,SELL,MEC-A,2025-10-27 22:45:00-04:00,22
2025-10-28 02:51:00+00:00,SELL,MEC-A,2025-10-27 22:51:00-04:00,22
2025-10-28 02:52:00+00:00,SELL,MEC-A,2025-10-27 22:52:00-04:00,22
2025-10-28 02:59:00+00:00,SELL,MEC-A,2025-10-27 22:59:00-04:00,22
2025-10-28 03:14:00+00:00,BUY,MEC-A,2025-10-27 23:14:00-04:00,23
2025-10-28 03:16:00+00:00,BUY,MEC-A,2025-10-27 23:16:00-04:00,23
2025-10-28 03:22:00+00:00,BUY,MEC-A,2025-10-27 23:22:00-04:00,23
2025-10-28 03:24:00+00:00,BUY,MEC-A,2025-10-27 23:24:00-04:00,23
2025-10-28 03:25:00+00:00,BUY,MEC-A,2025-10-27 23:25:00-04:00,23
2025-10-28 03:26:00+00:00,BUY,MEC-A,2025-10-27 23:26:00-04:00,23
2025-10-28 03:38:00+00:00,SELL,MEC-A,2025-10-27 23:38:00-04:00,23
2025-10-28 03:48:00+00:00,BUY,MEC-A,2025-10-27 23:48:00-04:00,23
2025-10-28 03:55:00+00:00,BUY,MEC-A,2025-10-27 23:55:00-04:00,23
2025-10-28 03:58:00+00:00,BUY,MEC-A,2025-10-27 23:58:00-04:00,23
2025-10-28 04:16:00+00:00,SELL,MEC-A,2025-10-28 00:16:00-04:00,0
2025-10-28 04:18:00+00:00,SELL,MEC-A,2025-10-28 00:18:00-04:00,0
2025-10-28 04:21:00+00:00,SELL,MEC-A,2025-10-28 00:21:00-04:00,0
2025-10-28 04:22:00+00:00,SELL,MEC-A,2025-10-28 00:22:00-04:00,0
2025-10-28 04:23:00+00:00,SELL,MEC-A,2025-10-28 00:23:00-04:00,0
2025-10-28 04:26:00+00:00,SELL,MEC-A,2025-10-28 00:26:00-04:00,0
2025-10-28 04:31:00+00:00,SELL,MEC-A,2025-10-28 00:31:00-04:00,0
2025-10-28 04:41:00+00:00,BUY,MEC-A,2025-10-28 00:41:00-04:00,0
2025-10-28 04:54:00+00:00,SELL,MEC-A,2025-10-28 00:54:00-04:00,0
2025-10-28 05:00:00+00:00,SELL,MEC-A,2025-10-28 01:00:00-04:00,1
2025-10-28 05:04:00+00:00,SELL,MEC-A,2025-10-28 01:04:00-04:00,1
2025-10-28 05:05:00+00:00,SELL,MEC-A,2025-10-28 01:05:00-04:00,1
2025-10-28 05:12:00+00:00,BUY,MEC-A,2025-10-28 01:12:00-04:00,1
2025-10-28 05:15:00+00:00,BUY,MEC-A,2025-10-28 01:15:00-04:00,1
2025-10-28 05:30:00+00:00,SELL,MEC-A,2025-10-28 01:30:00-04:00,1
2025-10-28 05:39:00+00:00,SELL,MEC-A,2025-10-28 01:39:00-04:00,1
2025-10-28 05:43:00+00:00,SELL,MEC-A,2025-10-28 01:43:00-04:00,1
2025-10-28 05:47:00+00:00,BUY,MEC-A,2025-10-28 01:47:00-04:00,1
2025-10-28 05:56:00+00:00,BUY,MEC-A,2025-10-28 01:56:00-04:00,1
2025-10-28 05:58:00+00:00,BUY,MEC-A,2025-10-28 01:58:00-04:00,1
2025-10-28 06:03:00+00:00,SELL,MEC-A,2025-10-28 02:03:00-04:00,2
2025-10-28 06:05:00+00:00,SELL,MEC-A,2025-10-28 02:05:00-04:00,2
2025-10-28 06:06:00+00:00,SELL,MEC-A,2025-10-28 02:06:00-04:00,2
2025-10-28 06:08:00+00:00,SELL,MEC-A,2025-10-28 02:08:00-04:00,2
2025-10-28 06:09:00+00:00,SELL,MEC-A,2025-10-28 02:09:00-04:00,2
2025-10-28 06:12:00+00:00,SELL,MEC-A,2025-10-28 02:12:00-04:00,2
2025-10-28 06:27:00+00:00,SELL,MEC-A,2025-10-28 02:27:00-04:00,2
2025-10-28 06:28:00+00:00,SELL,MEC-A,2025-10-28 02:28:00-04:00,2
2025-10-28 06:31:00+00:00,SELL,MEC-A,2025-10-28 02:31:00-04:00,2
2025-10-28 06:35:00+00:00,SELL,MEC-A,2025-10-28 02:35:00-04:00,2
2025-10-28 06:38:00+00:00,SELL,MEC-A,2025-10-28 02:38:00-04:00,2
2025-10-28 06:39:00+00:00,SELL,MEC-A,2025-10-28 02:39:00-04:00,2
2025-10-28 06:40:00+00:00,SELL,MEC-A,2025-10-28 02:40:00-04:00,2
2025-10-28 06:44:00+00:00,SELL,MEC-A,2025-10-28 02:44:00-04:00,2
2025-10-28 06:50:00+00:00,SELL,MEC-A,2025-10-28 02:50:00-04:00,2
2025-10-28 06:51:00+00:00,SELL,MEC-A,2025-10-28 02:51:00-04:00,2
2025-10-28 06:56:00+00:00,SELL,MEC-A,2025-10-28 02:56:00-04:00,2
2025-10-28 07:00:00+00:00,SELL,MEC-A,2025-10-28 03:00:00-04:00,3
2025-10-28 07:01:00+00:00,SELL,MEC-A,2025-10-28 03:01:00-04:00,3
2025-10-28 07:06:00+00:00,BUY,MEC-A,2025-10-28 03:06:00-04:00,3
2025-10-28 07:12:00+00:00,BUY,MEC-A,2025-10-28 03:12:00-04:00,3
2025-10-28 07:13:00+00:00,BUY,MEC-A,2025-10-28 03:13:00-04:00,3
2025-10-28 07:17:00+00:00,SELL,MEC-A,2025-10-28 03:17:00-04:00,3
